id,Dénomination,Bureau,Année,Type,Styles,Saison,Météo,Journée,Lumière,Composition,Affectations,Pays,Nom de fichier (avec extension)
295,guachinarte_MillerHouse,Guachinarte,,Intérieur,Réaliste,,Dégagé,,Direct,,Logement,,guachinarte_MillerHouse12.jpg
296,Studio MichaeF avre_Project Morache,Guachinarte,,Intérieur,Réaliste,,,,Artificielle,,Commercial,,guachinarte_StudioMichaelFavre_FrenchCafe.jpg
297,Studio MichaeF avre_Project Morache,Guachinarte,,Intérieur,Réaliste,,,,Artificielle,,Commercial,,guachinarte_StudioMichaelFavre_ProjectMorache1.jpg
298,Tanrisever_Marktplatz_St-Gallen,Guachinarte,,Extérieur,Graphique,,,Milieu journée,Artificielle,,Urbanisme,Suisse,guachinarte_Tanrisever_Marktplatz_StGallen.jpg
299,Tanrisever_Marktplatz_St-Gallen,Guachinarte,,Extérieur,Graphique,,,Nuit,Artificielle,,Urbanisme,Suisse,guachinarte_Tanrisever_Marktplatz_StGallen1.jpg
300,Tanrisever_Marktplatz_St-Gallen,Guachinarte,,Extérieur,Graphique,,,Milieu journée,Artificielle,,Urbanisme,Suisse,guachinarte_Tanrisever_Marktplatz_StGallen2.jpg
301,Verve_Mettlenweg_Bienne,Guachinarte,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Vertical,Logement,Suisse,guachinarte_Verve_Mettlenweg_Bienne.jpg
302,Verve_Mettlenweg_Bienne,Guachinarte,,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Vertical,Logement,Suisse,guachinarte_Verve_Mettlenweg3_Bienne.jpg
303,Verve_Ecole_Preles,Guachinarte,,Extérieur,Illustration,Hiver,Pluvieux,,Artificielle,Vertical,École,Suisse,guachinarte_Verve_ReveLucideEcole_Preles.jpg
304,Verve_Ecole_Preles,Guachinarte,,Extérieur,Illustration,Hiver,Pluvieux,,Diffuse,Vertical,École,Suisse,guachinarte_Verve_ReveLucideEcole1_Preles.jpg
305,Verve_Ecole_Preles,Guachinarte,,Extérieur,Illustration,Hiver,Pluvieux,,Artificielle,Vertical,École,Suisse,guachinarte_Verve_ReveLucideEcole2_Preles.jpg
306,Verve_Ecole_Preles,Guachinarte,,Extérieur,Illustration,Hiver,Pluvieux,,Diffuse,Vertical,École,Suisse,guachinarte_Verve_ReveLucideEcole3_Preles.jpg
307,Capua Mann_College_Sion,Bildbauer,,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Diffuse,Central,École,Suisse,bildbauer__CapuaMann_College_SION_01.jpg
308,Capua Mann_College_Sion,Bildbauer,,Intérieur,Illustration,,Dégagé,,Diffuse,,École,Suisse,bildbauer__CapuaMann_College_SION_02.jpg
309,Capua Mann_Centre Accueil Ski_Dappes,Bildbauer,2018,Extérieur,Illustration,Hiver,Nuageux,,Artificielle,,Commercial,,bildbauer_CapuaMann_CentreACcueil_Dappes_2018_01.jpg
310,Capua Mann_Centre Accueil Ski_Dappes,Bildbauer,2018,Extérieur,Illustration,Hiver,Nuageux,,Diffuse,,Commercial,,bildbauer_CapuaMann_CentreACcueil_Dappes_2018_02.jpg
311,Capua Mann_Centre Accueil Ski_Dappes,Bildbauer,2018,Intérieur,Illustration,Hiver,Nuageux,Milieu journée,Artificielle,,Commercial,,bildbauer_CapuaMann_CentreACcueil_Dappes_2018_02.jpg
312,Capua Mann_Ecole_Preles,Bildbauer,2018,Extérieur,Illustration,Été,Dégagé,Milieu journée,Diffuse,,École,Suisse,bildbauer_CapuaMann_Ecole_Preles_2018_01.jpg
313,Capua Mann_Ecole_Preles,Bildbauer,2018,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,École,Suisse,bildbauer_CapuaMann_Ecole_Preles_2018_02.jpg
314,Capua Mann_Ecole Belvedere_Lausanne,Bildbauer,2018,Extérieur,Illustration,Automne,Dégagé,Milieu journée,Direct,,École,Suisse,bildbauer_CapuaMann_EcoleBelvedere_Lausanne_2018_01.jpg
315,Capua Mann_Ecole Belvedere_Lausanne,Bildbauer,2018,Intérieur,Illustration,,,,Direct,,École,Suisse,bildbauer_CapuaMann_EcoleBelvedere_Lausanne_2018_02.jpg
316,Capua Mann_EMS_Aubonne,Bildbauer,2017,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,EMS,Suisse,bildbauer_CapuaMann_EMS_Aubonne_2017_01.jpg
317,Capua Mann_EMS_Aubonne,Bildbauer,2017,Intérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,EMS,Suisse,bildbauer_CapuaMann_EMS_Aubonne_2017_02.jpg
318,Capua Mann_EMS_Aubonne,Bildbauer,2017,Intérieur,Réaliste,,,Milieu journée,Direct,,EMS,Suisse,bildbauer_CapuaMann_EMS_Aubonne_2017_03.jpg
319,NB arch_College Eglantine_Lausanne,Bildbauer,2018,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,École,Suisse,bildbauer_NBarch_CollegeEglantine_Lausanne_2018_01.jpg
320,NB arch_College Eglantine_Lausanne,Bildbauer,2018,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,Frontal,École,Suisse,bildbauer_NBarch_CollegeEglantine_Lausanne_2018_02.jpg
321,Philippe LeRoy_Auberge de Jeunesse_Neuchatel,Bildbauer,2019,Extérieur,Illustration,,Dégagé,Soir,Diffuse,,Commercial,Suisse,bildbauer_PhilippeLeRoy_AubergeJeunesse_Neuchatel_2019_01.jpg
322,Philippe LeRoy_Auberge de Jeunesse_Neuchatel,Bildbauer,2019,Intérieur,Réaliste,,,,Diffuse,,Commercial,Suisse,bildbauer_PhilippeLeRoy_AubergeJeunesse_Neuchatel_2019_02.jpg
323,Urbistondo Martinez_Centrales d’engagement_Sierre,Bildbauer,2019,Extérieur,Illustration,Été,Dégagé,Milieu journée,Diffuse,Frontal,Public,Suisse,bildbauer_UrbistondoMartinez_CentralseEngagement_SIER_01_2019.jpg
324,Urbistondo Martinez_Centrales d’engagement_Sierre,Bildbauer,2019,Intérieur,Illustration,,,,Diffuse,,Public,Suisse,bildbauer_UrbistondoMartinez_CentralseEngagement_SIER_02_2019.jpg
325,Allaz Bertolini Huynh_Logements Etudiants_Bachet De Pesay,Bildbauer,2016,Extérieur,Graphique,,,,Direct,,Logement,Suisse,bildbauer_AllazBertoliniHuynh_LogementsEtudiants_BachetDePesay_2016_01.jpg
326,Allaz Bertolini Huynh_Logements Etudiants_Bachet De Pesay,Bildbauer,2016,Extérieur,Graphique,,,,Direct,,Logement,Suisse,bildbauer_AllazBertoliniHuynh_LogementsEtudiants_BachetDePesay_2016_02.jpg
327,Allaz Bertolini Huynh_Logements Etudiants_Bachet De Pesay,Bildbauer,2016,Extérieur,Graphique,,,,Direct,,Logement,Suisse,bildbauer_AllazBertoliniHuynh_LogementsEtudiants_BachetDePesay_2016_03.jpg
328,Bellmann_Centre Scolaire_Ollon,Bildbauer,2018,Extérieur,Graphique,Été,Dégagé,,Direct,,École,Suisse,bildbauer_Bellmann_CentreScolaire_Ollon_2018_01.jpg
329,Bellmann_Centre Scolaire_Ollon,Bildbauer,2018,Extérieur,Graphique,Été,Dégagé,,Diffuse,,École,Suisse,bildbauer_Bellmann_CentreScolaire_Ollon_2018_02.jpg
330,Bellmann_Ecoquartier Des Vergers_Meyrin_2013,Bildbauer,2013,Intérieur,Illustration,Été,Dégagé,Matin,Direct,,Logement,Suisse,bildbauer_Bellmann_EcoquartierDesVergers_Meyrin_2013_01.jpg
331,Bellmann_Ecoquartier Des Vergers_Meyrin_2013,Bildbauer,2013,Intérieur,Illustration,Hiver,Nuageux,,Artificielle,,Logement,Suisse,bildbauer_Bellmann_EcoquartierDesVergers_Meyrin_2013_02.jpg
332,Capua Mann_College Courbet_Tour De Peilz,Bildbauer,2016,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,École,Suisse,bildbauer_CapuaMann_CollegeCourbet_TourDePeilz_2016_01.jpg
333,Capua Mann_College Courbet_Tour De Peilz,Bildbauer,2016,Intérieur,Illustration,,,Milieu journée,Artificielle,,École,Suisse,bildbauer_CapuaMann_CollegeCourbet_TourDePeilz_2016_02.jpg
334,Capua Mann_College Courbet_Tour De Peilz,Bildbauer,2016,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,École,Suisse,bildbauer_CapuaMann_CollegeCourbet_TourDePeilz_2016_03.jpg
335,Capua Mann_Complexe Sportif_Broc,Bildbauer,2018,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Public,Suisse,bildbauer_CapuaMann_ComplexeSportif_Broc_2018_01.jpg
336,Capua Mann_Complexe Sportif_Broc,Bildbauer,2018,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Public,Suisse,bildbauer_CapuaMann_ComplexeSportif_Broc_2018_02.jpg
337,Capua Mann_Complexe Sportif_Broc,Bildbauer,2018,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Public,Suisse,bildbauer_CapuaMann_ComplexeSportif_Broc_2018_03.jpg
338,Capua Mann_EPS Floreyres_Fondation Saphir_Yverdon,Bildbauer,2016,Extérieur,Illustration,,,,Direct,,EMS,Suisse,bildbauer_CapuaMann_EPSFloreyres_FondationSaphir_Yverdon_2016_01.jpg
339,Capua Mann_EPS Floreyres_Fondation Saphir_Yverdon,Bildbauer,2016,Extérieur,Illustration,Été,Dégagé,,Direct,Frontal,EMS,Suisse,bildbauer_CapuaMann_EPSFloreyres_FondationSaphir_Yverdon_2016_02.jpg
340,Capua Mann_EPS Floreyres_Fondation Saphir_Yverdon,Bildbauer,2016,Intérieur,Illustration,,Dégagé,,Direct,,EMS,Suisse,bildbauer_CapuaMann_EPSFloreyres_FondationSaphir_Yverdon_2016_03.jpg
341,Capua Mann_Logements Bonne Esperance_Lausanne,Bildbauer,2017,Extérieur,Illustration,Été,Dégagé,Milieu journée,Diffuse,Frontal,Logement,Suisse,bildbauer_CapuaMann_LogementsBonneEsperance_Lausanne_2017_01.jpg
342,Capua Mann_Logements Bonne Esperance_Lausanne,Bildbauer,2017,Intérieur,Illustration,,,Matin,Direct,,Logement,Suisse,bildbauer_CapuaMann_LogementsBonneEsperance_Lausanne_2017_02.jpg
343,Capua Mann_Logements Bonne Esperance_Lausanne,Bildbauer,2017,Extérieur,Réaliste,Été,Dégagé,Milieu journée,Direct,Drone,Logement,Suisse,bildbauer_CapuaMann_LogementsBonneEsperance_Lausanne_2017_03.jpg
344,Graber Petter_Banque Raiffeisen_Romont,Bildbauer,2019,Extérieur,Graphique,,,,Direct,,Commercial,Suisse,bildbauer_GraberPetter_Banqu_Romont_2019_01.jpg
345,Graber Petter_Banque Raiffeisen_Romont,Bildbauer,2019,Intérieur,Graphique,,,,Diffuse,,Commercial,Suisse,bildbauer_GraberPetter_Banqu_Romont_2019_02.jpg
346,Graber Petter_Cycle d’Orientation_Cugy Fribourg,Bildbauer,2017,Extérieur,Graphique,Été,,,Direct,,École,Suisse,bildbauer_GraberPetter_CycleOrientation_CugyFribourg_2017_01.jpg
347,Graber Petter_Cycle d’Orientation_Cugy Fribourg,Bildbauer,2017,Intérieur,Graphique,,,,Direct,,École,Suisse,bildbauer_GraberPetter_CycleOrientation_CugyFribourg_2017_02.jpg
348,Madeleine Archi_Telepherique_Vercorin,Bildbauer,2017,Extérieur,Graphique,,,,Diffuse,,Public,Suisse,bildbauer_MadeleineArchi_Telepherique_Vercorin_2017_01.jpg
349,Madeleine Archi_Telepherique_Vercorin,Bildbauer,2017,Extérieur,Graphique,,,,Direct,,Public,Suisse,bildbauer_MadeleineArchi_Telepherique_Vercorin_2017_02.jpg
350,Madeleine Archi_Telepherique_Vercorin,Bildbauer,2017,Extérieur,Graphique,,,,Direct,,Public,Suisse,bildbauer_MadeleineArchi_Telepherique_Vercorin_2017_03.jpg
351,NB arch_centre de formation_St Loup_Lausanne,Bildbauer,2017,Intérieur,Graphique,,,,Direct,,École,Suisse,bildbauer_NBarch_centreFormation_StLoup_2017_01.jpg
352,NB arch_centre de formation_St Loup_Lausanne,Bildbauer,2017,Extérieur,Graphique,Été,,,Direct,,École,Suisse,bildbauer_Nbarch_centreFormation_StLoup_2017_02.jpg
353,NB arch_Logements_Plaines du Loup_Lausanne,Bildbauer,2017,Extérieur,Graphique,Été,,,Direct,,Logement,Suisse,bildbauer_NBarch_Logements_PlainesDuLoup_Lausanne_2017_01.jpg
354,Peter Architectes_maison familiale_Peseux,Bildbauer,2016,Intérieur,Graphique,,,,Diffuse,,Logement,Suisse,bildbauer_PeterArchitectes_maisonFamiliale_Peseux_2016.jpg
355,Philippe Le Roy_EMS_Begnins,Bildbauer,2017,Extérieur,Graphique,Été,Dégagé,Milieu journée,Direct,,EMS,Suisse,bildbauer_PhilippeLeRoy_EMS_Begnins_2017_01.jpg
356,Philippe Le Roy_EMS_Begnins,Bildbauer,2017,Intérieur,Graphique,Été,Dégagé,Milieu journée,Direct,,EMS,Suisse,bildbauer_PhilippeLeRoy_EMS_Begnins_2017_02.jpg
357,Retail Rites_Complexe Culturel Scolaire Beausobre_Morges,Bildbauer,2017,Extérieur,Illustration,,Nuageux,Milieu journée,Spot,,École,Suisse,bildbauer_RetailRites_ComplexeCulturelScolaireBeausobre_Morges_2017_01.jpg
358,Retail Rites_Complexe Culturel Scolaire Beausobre_Morges,Bildbauer,2017,Intérieur,Illustration,,,,Diffuse,,École,Suisse,bildbauer_RetailRites_ComplexeCulturelScolaireBeausobre_Morges_2017_02.jpg
359,Retail Rites_EMS_Begnins,Bildbauer,2017,Extérieur,Illustration,Été,Dégagé,,Direct,,EMS,Suisse,bildbauer_RetailRites_EMS_Begnins_2017_01.jpg
360,Retail Rites_EMS_Begnins,Bildbauer,2017,Intérieur,Illustration,,,Milieu journée,Direct,,EMS,Suisse,bildbauer_RetailRites_EMS_Begnins_2017_02.jpg
361,Retail Rites_EMS_LaColline_Chexbres,Bildbauer,2016,Extérieur,Illustration,Printemps,Dégagé,Matin,Diffuse,,EMS,Suisse,bildbauer_RetailRites_EMS_LaColline_Chexbres_2016_01.jpg
362,Retail Rites_EMS_LaColline_Chexbres,Bildbauer,2016,Intérieur,Illustration,,,,Diffuse,,EMS,Suisse,bildbauer_RetailRites_EMS_LaColline_Chexbres_2016_02.jpg
363,Rk Studio_Ecole_Salgesch,Bildbauer,2018,Extérieur,Graphique,,,,Direct,Central,École,Suisse,bildbauer_rkStudio_Ecole_Salgesch_2018.jpg
364,Tois Plus Architectes_Ecole_Vaulruz,Bildbauer,2014,Intérieur,Illustration,,,Milieu journée,Direct,,École,Suisse,bildbauer_ToisPlusArchitectes_Ecole_Vaulruz_2014_01.jpg
365,Trois Plus Architectes_Cycle Orientation_Cugy Fribourg,Bildbauer,2017,Extérieur,Graphique,,,Milieu journée,Direct,,École,Suisse,bildbauer_TroisPlusArchitectes_CycleOrientation_CugyFribourg_2017_01.jpg
366,Trois Plus Architectes_Cycle Orientation_Cugy Fribourg,Bildbauer,2017,Extérieur,Graphique,,,Milieu journée,Direct,,École,Suisse,bildbauer_TroisPlusArchitectes_CycleOrientation_CugyFribourg_2017_02.jpg
367,ahaa_Campus_Muttenz,ONIRISM,,Extérieur,Illustration,Automne,Dégagé,Matin,Direct,,École,Suisse,ONIRISM_ahaa_Campus_Muttenz.jpg
368,Appels_Villa_Munich,ONIRISM,,Extérieur,Illustration,Automne,Dégagé,Matin,Diffuse,Frontal,Logement,,ONIRISM_Appels_Villa_Munich.jpg
369,Attilio Panzeri_Kindergarten_Cadro_CH,ONIRISM,,Extérieur,Illustration,Automne,Dégagé,Soir,Spot,,École,Suisse,ONIRISM_AttilioPanzeri_Kindergarten_Cadro_CH.jpg
370,Bruno Fioretti Marquez_Eglise_Bayern,ONIRISM,,Intérieur,Illustration,,,,Direct,Vertical,Public,,ONIRISM_BrunoFiorettiMarquez_Eglise_Bayern.jpg
371,Bruno Partners_Refurbishment Metro Station_Rome,ONIRISM,,Intérieur,Illustration,,,,Artificielle,Central,Public,,ONIRISM_BrunoPartners_RefurbishmentMetroStation_Rome.jpg
372,Buzzi Studio_Police Station_Caslano_CH,ONIRISM,,Extérieur,Illustration,,Dégagé,Matin,Artificielle,Central,Public,Suisse,ONIRISM_BuzziStudio_PoliceStation_Caslano_CH.jpg
373,Buzzi Studio_Town Hall Refurbishment_Losone,ONIRISM,,Intérieur,Illustration,,,,Artificielle,Central,Commercial,Suisse,ONIRISM_BuzziStudio_TownHallRefurbishment_Losone.jpg
374,Caruso Mainardi_Skogfinsk Museum_Grue Finnskog,ONIRISM,,Intérieur,Illustration,,,,Artificielle,,Culture,,ONIRISM_CarusoMainardi_SkogfinskMuseum_GrueFinnskog.jpg
375,Cedric Schaerer_Campus Pole Sante_Sion,ONIRISM,,Extérieur,Réaliste,Été,Dégagé,Matin,Direct,Frontal,École,Suisse,ONIRISM_CedricSchaerer_CampusPoleSante_Sion.jpg
376,Cedric Schaerer_Campus Pole Sante_Sion,ONIRISM,,Intérieur,Illustration,,,,Direct,Central,École,Suisse,ONIRISM_CedricSchaerer_CampusPoleSante_Sion_02.jpg
377,Drattler Duthoit_Refurbishment_Rully,ONIRISM,,Intérieur,Illustration,,,,Direct,,Commercial,,ONIRISM_DrattlerDuthoit_Refurbishment_Rully.jpg
378,Drom_8 Villas 1 Tower_Novosibirsk,ONIRISM,,Extérieur,Illustration,Été,Nuageux,,Spot,Frontal,Logement,,ONIRISM_Drom_8Villas1Tower_Novosibirsk.jpg
379,Drom_8 Villas 1 Tower_Novosibirsk,ONIRISM,,Extérieur,Illustration,Automne,,,Direct,,Logement,,ONIRISM_Drom_8Villas1Tower_Novosibirsk_02.jpg
380,Durisch Nolli_CFA novazzano_Balerna_CH,ONIRISM,,Extérieur,Illustration,,Dégagé,Soir,Artificielle,Frontal,Public,Suisse,ONIRISM_DurischNolli_CFAnovazzano_Balerna_CH.jpg
381,Durisch Nolli_CFA novazzano_Balerna_CH,ONIRISM,,Extérieur,Illustration,,Dégagé,,Direct,,Public,Suisse,ONIRISM_DurischNolli_CFAnovazzano_Balerna_CH_02.jpg
382,FormA_Dobbiaco Housing_Italie,ONIRISM,,Extérieur,Illustration,Été,Dégagé,Matin,Diffuse,,Logement,,ONIRISM_FormA_DobbiacoHousing_Italie.jpg
383,FormA_House_Milan,ONIRISM,,Intérieur,Réaliste,,Dégagé,,Direct,,Logement,,ONIRISM_FormA_House_Milan_01.jpg
384,FormA_House_Milan,ONIRISM,,Extérieur,Illustration,Automne,,Soir,Diffuse,,Logement,,ONIRISM_FormA_House_Milan_02.jpg
385,Graal Archi_Cantine Uni_Paris,ONIRISM,,Extérieur,Illustration,Automne,Nuageux,Soir,Artificielle,Frontal,École,,ONIRISM_GraalArchi_Cantine_Paris.jpg
386,Graal Archi_Civic Center_Paris,ONIRISM,,Extérieur,Illustration,,Nuageux,Soir,Artificielle,Frontal,Public,,ONIRISM_GraalArchi_CivicCenter_Paris.jpg
387,Guillermo Vazquez Consuegra_Museum_Kiev,ONIRISM,,Extérieur,Illustration,Automne,Dégagé,Milieu journée,Diffuse,Frontal,Culture,,ONIRISM_GuillermoVazquezConsuegra_Museum_Kiev.jpg
388,Guillermo Vazquez Consuegra_Museum_Kiev,ONIRISM,,Intérieur,Illustration,Automne,,,Diffuse,Vertical,Culture,,ONIRISM_GuillermoVazquezConsuegra_Museum_Kiev_02.jpg
389,Guillermo Vazquez Consuegra_Urban Center Cornavin_Geneve,ONIRISM,,Extérieur,Illustration,,Dégagé,Milieu journée,Direct,Central,Public,Suisse,ONIRISM_GuillermoVazquezConsuegra_UrbanCenterCornavin_Geneve.jpg
390,Inches Geleta_School_Melano,ONIRISM,,Intérieur,Réaliste,,,,Diffuse,Central,École,Suisse,ONIRISM_InchesGeleta_School_Melano.jpg
391,IND archi_Standard Housing_Russian Federation,ONIRISM,,Extérieur,Illustration,,Pluvieux,Soir,Artificielle,,,,ONIRISM_INDarchi_StandardHousing_RussianFederation.jpg
392,Lacey Saltykov_Steel Bridge_London,ONIRISM,,Extérieur,Illustration,Été,Dégagé,,Direct,Central,Urbanisme,,ONIRISM_LaceySaltykov_SteelBridge_London.jpg
393,Mangado_New Convention Center_Heildeberg,ONIRISM,,Extérieur,Illustration,,Dégagé,Soir,Artificielle,Central,École,,ONIRISM_Mangado_NewCOnventionCenter_Heildeberg.jpg
394,Mangado_New Convention Center_Heildeberg,ONIRISM,,Extérieur,Illustration,,Dégagé,Milieu journée,Direct,,École,,ONIRISM_Mangado_NewCOnventionCenter_Heildeberg_02.jpg
395,Mide_School_Ariano Irpino,ONIRISM,,Extérieur,Illustration,Automne,Dégagé,Matin,Artificielle,,École,,ONIRISM_Mide_School_ArianoIrpino.jpg
396,Montemurro Aguiar_Private Villa_Ticino,ONIRISM,,Extérieur,Réaliste,,Dégagé,Soir,Artificielle,,Logement,Suisse,ONIRISM_MontemurroAguiar_PrivateVilla_Ticino.jpg
397,Nord_School_Copenhague,ONIRISM,,Intérieur,Illustration,,,,Direct,,École,,ONIRISM_Nord_School_Copenhague.jpg
398,Orsi Montemurro Aguiar_DSU_HQ_Lugano,ONIRISM,,Extérieur,Illustration,,,,Diffuse,,Public,Suisse,ONIRISM_OrsiMontemurroAguiar_DSU_HQ_Lugano.jpg
399,Orsi Montemurro Aguiar_DSU_HQ_Lugano,ONIRISM,,Extérieur,Illustration,,Nuageux,Matin,Diffuse,,Public,Suisse,ONIRISM_OrsiMontemurroAguiar_DSU_HQ_Lugano_02.jpg
400,Pietro Bischetti_EMS_Balerna,ONIRISM,,Intérieur,Illustration,,Dégagé,,Direct,,EMS,Suisse,ONIRISM_PietroBischetti_EMS_Balerna.jpg
401,Pietro Boschetti_DSU_HQ_Lugano,ONIRISM,,Extérieur,Illustration,,Dégagé,Matin,Artificielle,Drone,Commercial,Suisse,ONIRISM_PietroBoschetti_DSU_HQ_Lugano.jpg
402,Pietro Boschetti_DSU_HQ_Lugano,ONIRISM,,Intérieur,Illustration,,,,Artificielle,,Commercial,Suisse,ONIRISM_PietroBoschetti_DSU_HQ_Lugano_02.jpg
403,Ravagnani Vecchi_university_Modeman,ONIRISM,,Extérieur,Illustration,,Pluvieux,,Artificielle,,École,Suisse,ONIRISM_RavagnaniVecchi_university_Modeman.jpg
404,Reise architettura_Office Building_Merano,ONIRISM,,Intérieur,Illustration,,Pluvieux,,Artificielle,Frontal,Commercial,,ONIRISM_Reisearchitettura_OfficeBuilding_Merano.jpg
405,Scandurra_Office Building_Milan,ONIRISM,,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,Vertical,Commercial,,ONIRISM_Scandurra_OfficeBuilding_Milan.jpg
406,Scandurra_Office Building_Milan,ONIRISM,,Extérieur,Illustration,,Pluvieux,Soir,Artificielle,Vertical,Commercial,,ONIRISM_ScandurraStudio_OfficeBuilding_Milan.jpg
407,Serie Archi_Finnish National Museum_Helsinki,ONIRISM,,Extérieur,Illustration,Hiver,Dégagé,Matin,Diffuse,Vertical,Culture,,ONIRISM_SerieArchi_FinnishNationalMuseum_Helsinki.jpg
408,Substance Studio_Library_Venise,ONIRISM,,Extérieur,Illustration,,Dégagé,Soir,Artificielle,Vertical,Public,,ONIRISM_SubstanceStudio_Library_Venise.jpg
409,ADP_Gretag Areal_Regensdorf,Nightnurse,2015,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_ADP_GretagAreal_Regensdorf_2015_01.jpg
410,ADP_Gretag Areal_Regensdorf,Nightnurse,2015,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_ADP_GretagAreal_Regensdorf_2015_02.jpg
411,ADP_Gretag Areal_Regensdorf,Nightnurse,2015,Extérieur,Illustration,Printemps,Dégagé,Soir,Direct,,Logement,Suisse,Nightnurse_ADP_GretagAreal_Regensdorf_2015_03.jpg
412,ADP_Gretag Areal_Regensdorf,Nightnurse,2015,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_ADP_GretagAreal_Regensdorf_2015_04.jpg
413,ADP_Gretag Areal_Regensdorf,Nightnurse,2015,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_ADP_GretagAreal_Regensdorf_2015_05.jpg
414,ADP_Gretag Areal_Regensdorf,Nightnurse,2015,Intérieur,Réaliste,,,,Direct,,Logement,Suisse,Nightnurse_ADP_GretagAreal_Regensdorf_2015_06.jpg
415,ADP_Gretag Areal_Regensdorf,Nightnurse,2015,Intérieur,Réaliste,,,,Direct,,Logement,Suisse,Nightnurse_ADP_GretagAreal_Regensdorf_2015_07.jpg
416,ADP_Gretag Areal_Regensdorf,Nightnurse,2015,Extérieur,Illustration,Printemps,Dégagé,Matin,Direct,Vertical,Logement,Suisse,Nightnurse_ADP_GretagAreal_Regensdorf_2015_08.jpg
417,ADP_Gretag Areal_Regensdorf,Nightnurse,2015,Extérieur,Illustration,Printemps,Dégagé,Matin,Direct,Vertical,Logement,Suisse,Nightnurse_ADP_GretagAreal_Regensdorf_2015_09jpg
418,ADP_Gretag Areal_Regensdorf,Nightnurse,2015,Extérieur,Illustration,Printemps,Dégagé,Soir,Direct,Drone,Logement,Suisse,Nightnurse_ADP_GretagAreal_Regensdorf_2015_10.jpg
419,ADP_Wohnsiedlung Langa Blaetz_Schwerzenbach,Nightnurse,2017,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_ADP_WohnsiedlungLangaBlaetz_Schwerzenbach_2017_01.jpg
420,ADP_Wohnsiedlung Langa Blaetz_Schwerzenbach,Nightnurse,2017,Extérieur,Illustration,Été,Dégagé,Milieu journée,Diffuse,,Logement,Suisse,Nightnurse_ADP_WohnsiedlungLangaBlaetz_Schwerzenbach_2017_02.jpg
421,ADP_Wohnsiedlung Langa Blaetz_Schwerzenbach,Nightnurse,2017,Extérieur,Illustration,Été,Dégagé,Milieu journée,Diffuse,,Logement,Suisse,Nightnurse_ADP_WohnsiedlungLangaBlaetz_Schwerzenbach_2017_03.jpg
422,Aita Flury_Kantonsschule_Limmattal_Urdorf,Nightnurse,2017,Extérieur,Illustration,Été,Dégagé,Matin,Direct,,École,Suisse,Nightnurse_AitaFlury_Kantonsschule_Limmattal_Urdorf_2017_01.jpg
423,Aita Flury_Kantonsschule_Limmattal_Urdorf,Nightnurse,2017,Extérieur,Illustration,Été,Dégagé,Matin,Direct,,École,Suisse,Nightnurse_AitaFlury_Kantonsschule_Limmattal_Urdorf_2017_02.jpg
424,Aita Flury_Kindergarten_FuSTA_Aarau,Nightnurse,2015,Intérieur,Illustration,Hiver,,,Direct,,École,Suisse,Nightnurse_AitaFlury_Kindergarten_FuSTA_Aarau_2015_01.jpg
425,Aita Flury_Kindergarten_FuSTA_Aarau,Nightnurse,2015,Intérieur,Illustration,Hiver,,Matin,Diffuse,,École,Suisse,Nightnurse_AitaFlury_Kindergarten_FuSTA_Aarau_2015_02.jpg
426,Aita Flury_Kindergarten_FuSTA_Aarau,Nightnurse,2015,Extérieur,Illustration,Automne,Dégagé,,Diffuse,,École,Suisse,Nightnurse_AitaFlury_Kindergarten_FuSTA_Aarau_2015_03.jpg
427,Aita Flury_Kindertagesstaette_St Moritz,Nightnurse,2014,Extérieur,Illustration,Été,Dégagé,,Diffuse,Central,École,Suisse,Nightnurse_AitaFlury_Kindertagesstaette_StMoritz_2014_01.jpg
428,Aita Flury_Kindertagesstaette_St Moritz,Nightnurse,2014,Intérieur,Illustration,,,,Diffuse,,École,Suisse,Nightnurse_AitaFlury_Kindertagesstaette_StMoritz_2014_02.jpg
429,Aita Flury_Krematorium_Thun,Nightnurse,2015,Intérieur,Illustration,,,,Diffuse,,Public,Suisse,Nightnurse_AitaFlury_Krematorium_Thun_2015_01.jpg
