id,Dénomination,Bureau,Année,Type,Styles,Saison,Météo,Journée,Lumière,Composition,Affectations,Pays,Nom de fichier (avec extension)
703,Horisberger Wagen_Instandsetzung Konvikt_Chur,Nightnurse,2016,Intérieur,Illustration,,,,Diffuse,,Public,Suisse,Nightnurse_HorisbergerWagen_InstandsetzungKonvikt_Chur_2016_02.jpg
704,Horisberger Wagen_MFH_Sennhuette_Bonstetten,Nightnurse,2018,Extérieur,Illustration,,Dégagé,Matin,Direct,,Logement,Suisse,Nightnurse_HorisbergerWagen_MFH_Sennhuette_Bonstetten_2018_01.jpg
705,Horisberger Wagen_MFH_Sennhuette_Bonstetten,Nightnurse,2018,Extérieur,Illustration,,Nuageux,,Diffuse,,Logement,Suisse,Nightnurse_HorisbergerWagen_MFH_Sennhuette_Bonstetten_2018_02.jpg
706,Horisberger Wagen_Schulanlage Freilager_Zurich,Nightnurse,,Extérieur,Illustration,Printemps,Dégagé,Matin,Diffuse,Frontal,École,Suisse,Nightnurse_HorisbergerWagen_SchulanlageFreilager_Zurich_01.jpg
707,Horisberger Wagen_Schulanlage Freilager_Zurich,Nightnurse,,Intérieur,Réaliste,,,,Diffuse,,École,Suisse,Nightnurse_HorisbergerWagen_SchulanlageFreilager_Zurich_02.jpg
708,Horisberger Wagen_Schulanlage Freilager_Zurich,Nightnurse,,Intérieur,Réaliste,,,,Diffuse,,École,Suisse,Nightnurse_HorisbergerWagen_SchulanlageFreilager_Zurich_03.jpg
709,Horisberger Wagen_Schullandschaft_Stalden_Konolfingen,Nightnurse,2018,Extérieur,Illustration,Été,Dégagé,Matin,Spot,,École,Suisse,Nightnurse_HorisbergerWagen_Schullandschaft_Stalden_Konolfingen_2018_01.jpg
710,Horisberger Wagen_Schullandschaft_Stalden_Konolfingen,Nightnurse,2018,Extérieur,Illustration,Été,Dégagé,Matin,Direct,,École,Suisse,Nightnurse_HorisbergerWagen_Schullandschaft_Stalden_Konolfingen_2018_02.jpg
711,Horisberger Wagen_Schullandschaft_Stalden_Konolfingen,Nightnurse,2018,Intérieur,Illustration,,,,Direct,,École,Suisse,Nightnurse_HorisbergerWagen_Schullandschaft_Stalden_Konolfingen_2018_03.jpg
712,Horisberger Wagen_Strandbad_Bruggerhorn_St_Margarethen,Nightnurse,2019,Intérieur,Illustration,Été,Dégagé,,Direct,,Public,Suisse,Nightnurse_HorisbergerWagen_Strandbad_Bruggerhorn_St_Margarethen_2019.jpg
713,HRS_ewl Areal_Luzern,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_HRS_ewlAreal_Luzern_2019_01.jpg
